name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;333;0;620;3235;1188;3235;1164;0
header;329;194;329;232;1967;232;1967;194
A;1134;252;1134;281;1159;281;1159;252
B;471;354;471;374;486;374;486;354
B;598;817;598;834;607;834;607;817
B;1134;925;1134;951;1154;951;1154;925
C;1130;1595;1130;1624;1151;1624;1151;1595
A;815;1919;815;1934;823;1934;823;1919
B;569;1963;569;1983;584;1983;584;1963
A;1019;2351;1019;2361;1026;2361;1026;2351
D;1126;2382;1126;2411;1151;2411;1151;2382
B;792;2383;792;2402;807;2402;807;2383
B;587;2568;587;2587;602;2587;602;2568
A;617;2688;617;2705;638;2705;638;2688
