name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;583;0;657;3259;1183;3259;1134;0
header;307;211;307;249;1944;249;1944;211
A;1115;272;1115;299;1138;299;1138;272
B;765;277;765;297;798;297;798;277
A;1019;583;1019;584;1021;584;1021;583
B;1122;953;1122;979;1143;979;1143;953
B;759;1096;759;1111;780;1111;780;1096
D;826;1105;826;1121;834;1121;834;1105
A;1054;1498;1054;1500;1054;1500;1054;1498
C;1128;1619;1128;1648;1148;1648;1148;1619
D;1138;2301;1138;2327;1160;2327;1160;2301
B;917;2603;917;2617;939;2617;939;2603
A;1061;2837;1061;2852;1068;2852;1068;2837
B;1107;2870;1107;2893;1125;2893;1125;2870
